GROUP,TOPIC,PARTITION,CURRENT-OFFSET,LOG-END-OFFSET,LAG
demo-consumer-group,topic-1000,49,32,32,0
demo-consumer-group,topic-1000,892,35,35,0
demo-consumer-group,topic-1000,53,39,40,1
demo-consumer-group,topic-1000,813,33,37,4
demo-consumer-group,topic-1000,159,32,33,1
demo-consumer-group,topic-1000,901,36,38,2
demo-consumer-group,topic-1000,897,35,35,0
demo-consumer-group,topic-1000,550,29,30,1
demo-consumer-group,topic-1000,438,37,40,3
demo-consumer-group,topic-1000,863,40,41,1
demo-consumer-group,topic-1000,891,27,28,1
demo-consumer-group,topic-1000,381,22,23,1
demo-consumer-group,topic-1000,630,37,38,1
demo-consumer-group,topic-1000,931,32,33,1
demo-consumer-group,topic-1000,776,42,43,1
demo-consumer-group,topic-1000,494,36,40,4
demo-consumer-group,topic-1000,955,24,27,3
demo-consumer-group,topic-1000,185,41,41,0
demo-consumer-group,topic-1000,90,23,24,1
demo-consumer-group,topic-1000,737,35,36,1
demo-consumer-group,topic-1000,475,39,40,1
demo-consumer-group,topic-1000,510,40,44,4
demo-consumer-group,topic-1000,887,33,36,3
demo-consumer-group,topic-1000,983,31,33,2
demo-consumer-group,topic-1000,91,33,33,0
demo-consumer-group,topic-1000,230,36,37,1
demo-consumer-group,topic-1000,264,39,39,0
demo-consumer-group,topic-1000,219,36,41,5
demo-consumer-group,topic-1000,719,31,33,2
demo-consumer-group,topic-1000,347,39,39,0
demo-consumer-group,topic-1000,183,33,34,1
demo-consumer-group,topic-1000,566,34,34,0
demo-consumer-group,topic-1000,867,35,36,1
demo-consumer-group,topic-1000,682,39,40,1
demo-consumer-group,topic-1000,875,40,42,2
demo-consumer-group,topic-1000,253,51,54,3
demo-consumer-group,topic-1000,129,37,38,1
demo-consumer-group,topic-1000,441,34,35,1
demo-consumer-group,topic-1000,125,50,51,1
demo-consumer-group,topic-1000,154,42,43,1
demo-consumer-group,topic-1000,823,28,31,3
demo-consumer-group,topic-1000,614,42,43,1
demo-consumer-group,topic-1000,430,30,32,2
demo-consumer-group,topic-1000,939,46,46,0
demo-consumer-group,topic-1000,618,45,46,1
demo-consumer-group,topic-1000,799,37,39,2
demo-consumer-group,topic-1000,509,39,41,2
demo-consumer-group,topic-1000,446,35,37,2
demo-consumer-group,topic-1000,120,36,36,0
demo-consumer-group,topic-1000,190,25,28,3
demo-consumer-group,topic-1000,421,28,30,2
demo-consumer-group,topic-1000,417,37,37,0
demo-consumer-group,topic-1000,138,29,30,1
demo-consumer-group,topic-1000,448,36,38,2
demo-consumer-group,topic-1000,403,44,44,0
demo-consumer-group,topic-1000,487,39,41,2
demo-consumer-group,topic-1000,70,46,48,2
demo-consumer-group,topic-1000,989,38,41,3
demo-consumer-group,topic-1000,48,38,38,0
demo-consumer-group,topic-1000,174,42,43,1
demo-consumer-group,topic-1000,261,44,45,1
demo-consumer-group,topic-1000,134,37,38,1
demo-consumer-group,topic-1000,238,44,45,1
demo-consumer-group,topic-1000,503,37,38,1
demo-consumer-group,topic-1000,970,31,31,0
demo-consumer-group,topic-1000,974,42,43,1
demo-consumer-group,topic-1000,233,32,32,0
demo-consumer-group,topic-1000,254,39,40,1
demo-consumer-group,topic-1000,14,27,29,2
demo-consumer-group,topic-1000,753,38,40,2
demo-consumer-group,topic-1000,679,31,34,3
demo-consumer-group,topic-1000,414,39,40,1
demo-consumer-group,topic-1000,496,38,41,3
demo-consumer-group,topic-1000,39,39,41,2
demo-consumer-group,topic-1000,828,24,25,1
demo-consumer-group,topic-1000,193,42,43,1
demo-consumer-group,topic-1000,29,35,35,0
demo-consumer-group,topic-1000,79,30,31,1
demo-consumer-group,topic-1000,399,37,38,1
demo-consumer-group,topic-1000,770,30,30,0
demo-consumer-group,topic-1000,74,43,44,1
demo-consumer-group,topic-1000,283,38,38,0
demo-consumer-group,topic-1000,673,49,52,3
